title,ingredients,directions,ingredients_clean,directions_clean,vegetarian
Zucchini Soup,"[""4 Tbsp. butter"", ""1 onion, shredded"", ""1 1/2 tsp. salt"", ""1 tsp. sugar"", ""1 c. milk"", ""1 can Pet milk"", ""1 c. Velveeta cheese, melted"", ""5 zucchini, shredded"", ""1 potato, peeled and shredded"", ""1/2 tsp. soy sauce"", ""pepper"", ""3 c. chicken broth"", ""nutmeg""]","[""Saute vegetables in butter until tender."", ""Add salt, pepper, soy sauce and sugar."", ""Add stock, milk and canned milk."", ""Do not boil!"", ""Keep just below boiling for about 45 minutes."", ""Serve with a dash of nutmeg.""]","4 Tbsp. butter"", ""1 onion, shredded"", ""1 1/2 tsp. salt"", ""1 tsp. sugar"", ""1 c. milk"", ""1 can Pet milk"", ""1 c. Velveeta cheese, melted"", ""5 zucchini, shredded"", ""1 potato, peeled and shredded"", ""1/2 tsp. soy sauce"", ""pepper"", ""3 c. chicken broth"", ""nutmeg","Saute vegetables in butter until tender."", ""Add salt, pepper, soy sauce and sugar."", ""Add stock, milk and canned milk."", ""Do not boil!"", ""Keep just below boiling for about 45 minutes."", ""Serve with a dash of nutmeg.",False
Peanut Blossoms,"[""1/2 c. shortening"", ""1/3 c. white sugar"", ""1 egg"", ""1 tsp. vanilla"", ""1 tsp. baking soda"", ""1 bowl sugar (1 c.)"", ""3/4 c. peanut butter"", ""1/3 c. packed brown sugar"", ""2 Tbsp. milk"", ""1 1/2 c. flour"", ""1/2 tsp. salt"", ""1 bag Hershey's Kisses""]","[""Mix all ingredients, except for the 1 bowl of sugar."", ""Roll dough in 1-inch balls and roll in bowl of sugar."", ""Place on ungreased cookie sheet and bake at 375\u00b0 for 10 to 12 minutes. While still hot from oven, press one Hershey's Kiss carefully into the top of each cookie."", ""Cool and enjoy!"", ""This recipe makes about 2 1/2 dozen cookies.""]","1/2 c. shortening"", ""1/3 c. white sugar"", ""1 egg"", ""1 tsp. vanilla"", ""1 tsp. baking soda"", ""1 bowl sugar (1 c.)"", ""3/4 c. peanut butter"", ""1/3 c. packed brown sugar"", ""2 Tbsp. milk"", ""1 1/2 c. flour"", ""1/2 tsp. salt"", ""1 bag Hershey's Kisses","Mix all ingredients, except for the 1 bowl of sugar."", ""Roll dough in 1-inch balls and roll in bowl of sugar."", ""Place on ungreased cookie sheet and bake at 375\u00b0 for 10 to 12 minutes. While still hot from oven, press one Hershey's Kiss carefully into the top of each cookie."", ""Cool and enjoy!"", ""This recipe makes about 2 1/2 dozen cookies.",True
Mama's Brownies,"[""1 stick margarine, softened"", ""1 c. sugar"", ""1 tsp. vanilla"", ""2 eggs"", ""1/2 c. cocoa (I use less)"", ""3/4 c. flour"", ""3/4 c. nuts""]","[""Mix all ingredients together."", ""Bake at 350\u00b0 for 25 to 30 minutes.""]","1 stick margarine, softened"", ""1 c. sugar"", ""1 tsp. vanilla"", ""2 eggs"", ""1/2 c. cocoa (I use less)"", ""3/4 c. flour"", ""3/4 c. nuts","Mix all ingredients together."", ""Bake at 350\u00b0 for 25 to 30 minutes.",True
Date Pudding,"[""1/2 lb. dates"", ""1 lb. nuts"", ""5 egg whites"", ""speck of salt"", ""1 c. sugar"", ""3 tsp. baking powder"", ""1/2 tsp. vanilla""]","[""Beat the egg whites until they are stiff."", ""Mix the sugar, baking powder and salt together."", ""Fold into the egg whites this mixture."", ""Stone and chop nuts."", ""Fold into the sugar and egg mixture."", ""Bake in oiled tin for 25 to 30 minutes at 350\u00b0."", ""This pudding is best served about 3 days after it is made.""]","1/2 lb. dates"", ""1 lb. nuts"", ""5 egg whites"", ""speck of salt"", ""1 c. sugar"", ""3 tsp. baking powder"", ""1/2 tsp. vanilla","Beat the egg whites until they are stiff."", ""Mix the sugar, baking powder and salt together."", ""Fold into the egg whites this mixture."", ""Stone and chop nuts."", ""Fold into the sugar and egg mixture."", ""Bake in oiled tin for 25 to 30 minutes at 350\u00b0."", ""This pudding is best served about 3 days after it is made.",True
Gloria's Strawberry Pie,"[""1 (9-inch) baked pie shell"", ""1 pkg. strawberry Jell-O (regular)"", ""1 (16 oz.) or 2 (10 oz.) pkg. frozen strawberries, defrosted and drained"", ""1 c. juice"", ""1 pt. strawberry ice cream""]","[""Heat juice until boiling."", ""Remove from heat."", ""Add Jell-O. Stir until dissolved."", ""Add ice cream."", ""Stir until dissolved. Refrigerate until mixture mounds itself."", ""Fold in berries."", ""Pour into baked pie shell."", ""Refrigerate until set."", ""Top with whipped cream."", ""Use Dream Whip.""]","1 (9-inch) baked pie shell"", ""1 pkg. strawberry Jell-O (regular)"", ""1 (16 oz.) or 2 (10 oz.) pkg. frozen strawberries, defrosted and drained"", ""1 c. juice"", ""1 pt. strawberry ice cream","Heat juice until boiling."", ""Remove from heat."", ""Add Jell-O. Stir until dissolved."", ""Add ice cream."", ""Stir until dissolved. Refrigerate until mixture mounds itself."", ""Fold in berries."", ""Pour into baked pie shell."", ""Refrigerate until set."", ""Top with whipped cream."", ""Use Dream Whip.",True
Hungarian Goulash,"[""1 1/2 lb. hamburger"", ""1 c. chopped onions"", ""1 clove minced garlic"", ""1 1/2 tsp. paprika"", ""1/4 tsp. cayenne pepper"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""1/4 tsp. thyme"", ""2 bay leaves"", ""1 (28 oz.) can crushed tomatoes"", ""1 c. sour cream""]","[""Brown meat."", ""Add onions and garlic; cook until tender."", ""Blend in seasonings."", ""Add tomatoes; simmer."", ""Stir in sour cream."", ""Serve over elbow macaroni.""]","1 1/2 lb. hamburger"", ""1 c. chopped onions"", ""1 clove minced garlic"", ""1 1/2 tsp. paprika"", ""1/4 tsp. cayenne pepper"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""1/4 tsp. thyme"", ""2 bay leaves"", ""1 (28 oz.) can crushed tomatoes"", ""1 c. sour cream","Brown meat."", ""Add onions and garlic; cook until tender."", ""Blend in seasonings."", ""Add tomatoes; simmer."", ""Stir in sour cream."", ""Serve over elbow macaroni.",False
Zesty Slaw,"[""1 large cabbage, shredded"", ""1 large onion, chopped"", ""1 large green pepper, chopped"", ""1 c. vinegar"", ""1 tsp. celery seed"", ""1 c. olive oil"", ""1/2 c. pickle relish"", ""1 tsp. sugar"", ""1 tsp. pepper"", ""1 tsp. salt or garlic salt""]","[""Combine all ingredients in large bowl; mix well."", ""Cover and chill before serving.""]","1 large cabbage, shredded"", ""1 large onion, chopped"", ""1 large green pepper, chopped"", ""1 c. vinegar"", ""1 tsp. celery seed"", ""1 c. olive oil"", ""1/2 c. pickle relish"", ""1 tsp. sugar"", ""1 tsp. pepper"", ""1 tsp. salt or garlic salt","Combine all ingredients in large bowl; mix well."", ""Cover and chill before serving.",True
Apple Butter,"[""applesauce"", ""4 c. sugar"", ""1/2 c. cider vinegar"", ""2 Tbsp. ground cinnamon"", ""3 sticks cinnamon""]","[""Make in a crock-pot!"", ""For each crock-pot full of applesauce add these ingredients."", ""Let cook all day."", ""Take out cinnamon sticks and seal in jars.""]","applesauce"", ""4 c. sugar"", ""1/2 c. cider vinegar"", ""2 Tbsp. ground cinnamon"", ""3 sticks cinnamon","Make in a crock-pot!"", ""For each crock-pot full of applesauce add these ingredients."", ""Let cook all day."", ""Take out cinnamon sticks and seal in jars.",True
Ham Deviled Eggs,"[""6 hard-cooked eggs"", ""1 (4 1/2 oz.) can deviled ham"", ""1 Tbsp. mayonnaise"", ""1 tsp. sweet pickle relish"", ""pimento, green pepper strips and stuffed olives (optional)""]","[""Slice eggs"", ""in halves (across)."", ""Remove yolks and mash. Blend with"", ""deviled"", ""ham,"", ""mayonnaise and pickle relish.\tFill hollows with mixture and garnish with pepper strips or pimento or stuffed olives.""]","6 hard-cooked eggs"", ""1 (4 1/2 oz.) can deviled ham"", ""1 Tbsp. mayonnaise"", ""1 tsp. sweet pickle relish"", ""pimento, green pepper strips and stuffed olives (optional)","Slice eggs"", ""in halves (across)."", ""Remove yolks and mash. Blend with"", ""deviled"", ""ham,"", ""mayonnaise and pickle relish.\tFill hollows with mixture and garnish with pepper strips or pimento or stuffed olives.",False
Carrot Nut Bread,"[""1 c. white sugar"", ""3/4 c. liquid shortening"", ""2 eggs"", ""1 1/2 c. flour (plain)"", ""1 tsp. cinnamon"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""1 1/2 c. carrots, grated"", ""1/2 c. nutmeats""]","[""Mix together sugar and shortening."", ""Add eggs."", ""Sift together flour, cinnamon, soda and salt."", ""Add to first mixture, then stir in carrots and nutmeats."", ""Bake in a loaf pan for 1 hour at 370\u00b0.""]","1 c. white sugar"", ""3/4 c. liquid shortening"", ""2 eggs"", ""1 1/2 c. flour (plain)"", ""1 tsp. cinnamon"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""1 1/2 c. carrots, grated"", ""1/2 c. nutmeats","Mix together sugar and shortening."", ""Add eggs."", ""Sift together flour, cinnamon, soda and salt."", ""Add to first mixture, then stir in carrots and nutmeats."", ""Bake in a loaf pan for 1 hour at 370\u00b0.",True
Pineapple Casserole,"[""2 (16 oz.) cans pineapple, drained (chunk or crushed)"", ""1 c. sugar"", ""6 Tbsp. flour"", ""1 stick margarine, melted"", ""2 or 3 c. sharp cheese, grated"", ""1 bag Ritz crackers, crushed""]","[""Mix well flour and sugar."", ""Put pineapple in dish."", ""Sprinkle sugar and flour mixture over pineapple."", ""Top with cheese and then crackers."", ""Pour 1 stick melted margarine over top."", ""Bake at 350\u00b0 until bubbles (about 20 minutes).""]","2 (16 oz.) cans pineapple, drained (chunk or crushed)"", ""1 c. sugar"", ""6 Tbsp. flour"", ""1 stick margarine, melted"", ""2 or 3 c. sharp cheese, grated"", ""1 bag Ritz crackers, crushed","Mix well flour and sugar."", ""Put pineapple in dish."", ""Sprinkle sugar and flour mixture over pineapple."", ""Top with cheese and then crackers."", ""Pour 1 stick melted margarine over top."", ""Bake at 350\u00b0 until bubbles (about 20 minutes).",True
Cauliflower Salad,"[""lettuce, torn in small pieces"", ""cauliflower, cut up"", ""red cabbage, shredded"", ""bacon bits"", ""mayonnaise"", ""Parmesan cheese""]","[""In oblong pan, layer vegetables."", ""Ice with mayonnaise."", ""Top with bacon bits and Parmesan cheese."", ""Refrigerate and toss before serving.""]","lettuce, torn in small pieces"", ""cauliflower, cut up"", ""red cabbage, shredded"", ""bacon bits"", ""mayonnaise"", ""Parmesan cheese","In oblong pan, layer vegetables."", ""Ice with mayonnaise."", ""Top with bacon bits and Parmesan cheese."", ""Refrigerate and toss before serving.",False
Peanut Butter Tandy Cakes,"[""4 eggs"", ""2 c. sugar"", ""1 c. milk"", ""1 tsp. vanilla"", ""2 c. flour"", ""2 tsp. baking powder"", ""1/4 tsp. salt""]","[""Beat eggs."", ""Add sugar gradually."", ""Add milk and vanilla."", ""Sift flour, baking powder and salt."", ""Mix well."", ""Grease cookie sheet pan with sides."", ""Bake at 350\u00b0 for 15 to 20 minutes."", ""Spread with 1 cup creamy peanut butter while hot."", ""Cool completely.""]","4 eggs"", ""2 c. sugar"", ""1 c. milk"", ""1 tsp. vanilla"", ""2 c. flour"", ""2 tsp. baking powder"", ""1/4 tsp. salt","Beat eggs."", ""Add sugar gradually."", ""Add milk and vanilla."", ""Sift flour, baking powder and salt."", ""Mix well."", ""Grease cookie sheet pan with sides."", ""Bake at 350\u00b0 for 15 to 20 minutes."", ""Spread with 1 cup creamy peanut butter while hot."", ""Cool completely.",True
Earthquake Cake,"[""1 cup coconut"", ""1 cup chopped nuts"", ""1 box German chocolate cake mix"", ""1 8 oz. cream cheese, softened"", ""1 box confectioners sugar"", ""1 stick margarine, melted""]","[""Preheat oven to 350 degrees.""]","1 cup coconut"", ""1 cup chopped nuts"", ""1 box German chocolate cake mix"", ""1 8 oz. cream cheese, softened"", ""1 box confectioners sugar"", ""1 stick margarine, melted",Preheat oven to 350 degrees.,True
Chicken Breasts,"[""2 pkg. boneless chicken breasts"", ""3 eggs"", ""garlic salt"", ""Italian seasoned bread crumbs"", ""2 beef bouillon cubes"", ""1 c. shredded Cheddar cheese"", ""1 c. shredded Mozzarella cheese"", ""1 c. water""]","[""Marinate chicken breasts in eggs and garlic salt for 3 hours. Coat chicken in bread crumbs and brown on top of stove."", ""Lay flat in a 15 x 10-inch pan."", ""Mix bouillon cubes in 1 cup of water and pour over chicken."", ""Spread shredded cheeses over chicken."", ""Bake at 350\u00b0 for 30 to 40 minutes.""]","2 pkg. boneless chicken breasts"", ""3 eggs"", ""garlic salt"", ""Italian seasoned bread crumbs"", ""2 beef bouillon cubes"", ""1 c. shredded Cheddar cheese"", ""1 c. shredded Mozzarella cheese"", ""1 c. water","Marinate chicken breasts in eggs and garlic salt for 3 hours. Coat chicken in bread crumbs and brown on top of stove."", ""Lay flat in a 15 x 10-inch pan."", ""Mix bouillon cubes in 1 cup of water and pour over chicken."", ""Spread shredded cheeses over chicken."", ""Bake at 350\u00b0 for 30 to 40 minutes.",False
Red Meat Marinade,"[""1 c. salad oil"", ""1/2 c. vinegar"", ""2 tsp. Worcestershire sauce"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""dash of cayenne pepper"", ""dash of hot sauce"", ""2 tsp. dry mustard"", ""1 clove garlic""]","[""Mix together."", ""Add red meat to marinade in a Ziploc bag and marinate at least 6 hours."", ""Grill to desired doneness.""]","1 c. salad oil"", ""1/2 c. vinegar"", ""2 tsp. Worcestershire sauce"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""dash of cayenne pepper"", ""dash of hot sauce"", ""2 tsp. dry mustard"", ""1 clove garlic","Mix together."", ""Add red meat to marinade in a Ziploc bag and marinate at least 6 hours."", ""Grill to desired doneness.",True
Cornbread Cake,"[""3 c. Bisquick"", ""1/4 c. cornmeal"", ""1 tsp. baking powder"", ""3/4 c. vegetable oil"", ""1 1/4 c. sugar"", ""3 eggs"", ""1 1/2 c. milk"", ""1 tsp. vanilla"", ""1/2 block margarine or butter""]","[""Grease\ta"", ""9 x 13-inch pan."", ""Mix together the Bisquick, cornmeal and"", ""baking"", ""powder."", ""In a separate bowl, mix oil and sugar;"", ""blend"", ""in"", ""eggs."", ""Add liquid to dry ingredients."", ""Stir in milk and vanilla."", ""Bake at 325\u00b0 for 35 to 40 minutes."", ""Cool 5 minutes."", ""Pour melted butter over warm cornbread.""]","3 c. Bisquick"", ""1/4 c. cornmeal"", ""1 tsp. baking powder"", ""3/4 c. vegetable oil"", ""1 1/4 c. sugar"", ""3 eggs"", ""1 1/2 c. milk"", ""1 tsp. vanilla"", ""1/2 block margarine or butter","Grease\ta"", ""9 x 13-inch pan."", ""Mix together the Bisquick, cornmeal and"", ""baking"", ""powder."", ""In a separate bowl, mix oil and sugar;"", ""blend"", ""in"", ""eggs."", ""Add liquid to dry ingredients."", ""Stir in milk and vanilla."", ""Bake at 325\u00b0 for 35 to 40 minutes."", ""Cool 5 minutes."", ""Pour melted butter over warm cornbread.",True
Oven Barbecue Chicken,"[""1 fryer chicken, cut up"", ""flour"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""1 medium onion, chopped fine"", ""1 tsp. margarine"", ""3/4 c. catsup"", ""2 Tbsp. lemon juice"", ""1 tsp. prepared mustard"", ""2 Tbsp. light brown sugar"", ""1/2 tsp. Worcestershire sauce"", ""1/2 c. water""]","[""Roll chicken"", ""in flour, salt and pepper. Fry quickly in uncovered"", ""skillet."", ""Place\tlargest pieces on bottom of baking dish."", ""Place small pieces on top. Fry onion in margarine until brown,"", ""then"", ""add"", ""remaining"", ""ingredients. Simmer for about 15 minutes. Pour over chicken and bake for 1 hour at 350\u00b0 in oven until golden brown and tender.""]","1 fryer chicken, cut up"", ""flour"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""1 medium onion, chopped fine"", ""1 tsp. margarine"", ""3/4 c. catsup"", ""2 Tbsp. lemon juice"", ""1 tsp. prepared mustard"", ""2 Tbsp. light brown sugar"", ""1/2 tsp. Worcestershire sauce"", ""1/2 c. water","Roll chicken"", ""in flour, salt and pepper. Fry quickly in uncovered"", ""skillet."", ""Place\tlargest pieces on bottom of baking dish."", ""Place small pieces on top. Fry onion in margarine until brown,"", ""then"", ""add"", ""remaining"", ""ingredients. Simmer for about 15 minutes. Pour over chicken and bake for 1 hour at 350\u00b0 in oven until golden brown and tender.",False
Peanut Butter Fudge,"[""2 c. white sugar"", ""2 1/4 c. brown sugar (1 lb. box)"", ""3/4 c. milk"", ""1 small jar marshmallow"", ""1 1/2 c. peanut butter"", ""pinch of salt"", ""1 tsp. vanilla"", ""walnuts (optional)""]","[""Add white sugar, brown sugar, milk and salt together in saucepan."", ""Heat to a boil; boil for 1 1/2 minutes, then remove from heat."", ""Quickly add peanut butter, marshmallow, vanilla and walnuts, while stirring as much as possible."", ""Stir until starts to thicken, then pour into lightly greased pan (9 x 13-inch).""]","2 c. white sugar"", ""2 1/4 c. brown sugar (1 lb. box)"", ""3/4 c. milk"", ""1 small jar marshmallow"", ""1 1/2 c. peanut butter"", ""pinch of salt"", ""1 tsp. vanilla"", ""walnuts (optional)","Add white sugar, brown sugar, milk and salt together in saucepan."", ""Heat to a boil; boil for 1 1/2 minutes, then remove from heat."", ""Quickly add peanut butter, marshmallow, vanilla and walnuts, while stirring as much as possible."", ""Stir until starts to thicken, then pour into lightly greased pan (9 x 13-inch).",True
Party Chicken Bake,"[""6 boneless chicken breasts"", ""1 envelope dry Italian dressing mix"", ""butter or margarine"", ""1 (16 oz.) sour cream"", ""1 (8 oz.) cream cheese, softened or warmed"", ""1 can cream of mushroom soup"", ""1/2 c. cooking sherry or white wine"", ""1 c. milk"", ""rice or noodles (great with wild rice pilaf)""]","[""Melt butter or margarine in large skillet."", ""Add chicken breasts and sprinkle half of Italian dressing mix on top."", ""Saute. Turn chicken and add rest of dressing mix."", ""Cook until chicken is white throughout, but do not overcook."", ""Mix softened cream cheese, sour cream, soup, wine and milk with a whisk or beaters until smooth.""]","6 boneless chicken breasts"", ""1 envelope dry Italian dressing mix"", ""butter or margarine"", ""1 (16 oz.) sour cream"", ""1 (8 oz.) cream cheese, softened or warmed"", ""1 can cream of mushroom soup"", ""1/2 c. cooking sherry or white wine"", ""1 c. milk"", ""rice or noodles (great with wild rice pilaf)","Melt butter or margarine in large skillet."", ""Add chicken breasts and sprinkle half of Italian dressing mix on top."", ""Saute. Turn chicken and add rest of dressing mix."", ""Cook until chicken is white throughout, but do not overcook."", ""Mix softened cream cheese, sour cream, soup, wine and milk with a whisk or beaters until smooth.",False
Lime Pineapple Mold,"[""1 (No. 2) can crushed pineapple"", ""3 (3 oz.) pkg. lime jello"", ""1 pt. vanilla ice cream"", ""1 pt. sour cream""]","[""Drain pineapple and save juice."", ""Add water to juice to make 3 1/2 cups."", ""Bring to a boil."", ""Remove from heat and add jello. Cool."", ""Let ice cream stand 15 minutes.""]","1 (No. 2) can crushed pineapple"", ""3 (3 oz.) pkg. lime jello"", ""1 pt. vanilla ice cream"", ""1 pt. sour cream","Drain pineapple and save juice."", ""Add water to juice to make 3 1/2 cups."", ""Bring to a boil."", ""Remove from heat and add jello. Cool."", ""Let ice cream stand 15 minutes.",True
Okra And Eggplant Stew,"[""2 Tbsp. oil"", ""20 okra"", ""1 eggplant"", ""1 can tomato sauce"", ""1 large onion"", ""1 can fish or cooked meat"", ""1/8 tsp. salt"", ""1/8 tsp. pepper"", ""1 c. water""]","[""Wash the okra and eggplant."", ""Cut into small pieces and boil until tender.""]","2 Tbsp. oil"", ""20 okra"", ""1 eggplant"", ""1 can tomato sauce"", ""1 large onion"", ""1 can fish or cooked meat"", ""1/8 tsp. salt"", ""1/8 tsp. pepper"", ""1 c. water","Wash the okra and eggplant."", ""Cut into small pieces and boil until tender.",False
Watermelon Rind Pickles,"[""melon with thick rind"", ""1 gal. water"", ""2 heaping Tbsp. lime"", ""2 or more tsp. ginger"", ""boiling water"", ""2 c. vinegar"", ""4 c. sugar"", ""1 Tbsp. spice"", ""1 Tbsp. cloves"", ""4 sticks cinnamon""]","[""Make solution of water and lime dissolved in it."", ""Let stand overnight."", ""Next morning take out and wash in clear water. Prepare a ginger tea."", ""Cook rind until it begins to look clear. Prepare syrup."", ""Drop rind in the syrup, having enough to cover rind well."", ""Boil until rind becomes a pretty amber color."", ""Fill jars and seal.""]","melon with thick rind"", ""1 gal. water"", ""2 heaping Tbsp. lime"", ""2 or more tsp. ginger"", ""boiling water"", ""2 c. vinegar"", ""4 c. sugar"", ""1 Tbsp. spice"", ""1 Tbsp. cloves"", ""4 sticks cinnamon","Make solution of water and lime dissolved in it."", ""Let stand overnight."", ""Next morning take out and wash in clear water. Prepare a ginger tea."", ""Cook rind until it begins to look clear. Prepare syrup."", ""Drop rind in the syrup, having enough to cover rind well."", ""Boil until rind becomes a pretty amber color."", ""Fill jars and seal.",True
Harvey Wallbanger Cake,"[""1 pkg. yellow cake mix"", ""1 pkg. vanilla pudding (instant)"", ""1/2 c. oil"", ""4 eggs"", ""1/4 c. vodka"", ""1/4 c. Galliano liqueur"", ""3/4 c. orange juice""]","[""Mix and beat 4 minutes."", ""Grease and lightly flour Bundt pan. Bake at 350\u00b0 for 45 to 50 minutes. Dust with powdered sugar or orange juice glaze.""]","1 pkg. yellow cake mix"", ""1 pkg. vanilla pudding (instant)"", ""1/2 c. oil"", ""4 eggs"", ""1/4 c. vodka"", ""1/4 c. Galliano liqueur"", ""3/4 c. orange juice","Mix and beat 4 minutes."", ""Grease and lightly flour Bundt pan. Bake at 350\u00b0 for 45 to 50 minutes. Dust with powdered sugar or orange juice glaze.",True
Punch Bowl Cake,"[""1 yellow cake mix, baked as directed"", ""1 large and 1 small Cool Whip"", ""2 cans crushed pineapple, drained"", ""1 large and 1 small instant vanilla pudding, mixed"", ""2 bags frozen fruit mix, thawed and drained"", ""1/2 c. chopped nuts""]","[""Mix and cool cake."", ""Crumble 1/2 cake in bottom of punch bowl. Pour 1/2 pudding over cake."", ""Add 1/2 drained pineapple, 1/2 mixed fruit and 1/2 Cool Whip."", ""Repeat steps and top with chopped nuts.""]","1 yellow cake mix, baked as directed"", ""1 large and 1 small Cool Whip"", ""2 cans crushed pineapple, drained"", ""1 large and 1 small instant vanilla pudding, mixed"", ""2 bags frozen fruit mix, thawed and drained"", ""1/2 c. chopped nuts","Mix and cool cake."", ""Crumble 1/2 cake in bottom of punch bowl. Pour 1/2 pudding over cake."", ""Add 1/2 drained pineapple, 1/2 mixed fruit and 1/2 Cool Whip."", ""Repeat steps and top with chopped nuts.",True
Raspberry Pretzel Dessert,"[""2 c. crushed pretzels"", ""3 Tbsp. sugar"", ""3/4 c. melted margarine""]","[""Mix together; press in a 9 x 13-inch pan."", ""Bake 8 minutes. Cool.""]","2 c. crushed pretzels"", ""3 Tbsp. sugar"", ""3/4 c. melted margarine","Mix together; press in a 9 x 13-inch pan."", ""Bake 8 minutes. Cool.",True
Kay's Hamburger Cakes,"[""2 lb. ground sirloin with a little bit chuck ground"", ""1 medium onion, finely chopped"", ""2 to 3 Tbsp. butter"", ""reserved potato water from \""Kay's Creamy Mashed Potatoes\"""", ""4 to 6 Tbsp. flour"", ""4 to 6 Tbsp. water""]","[""Mix your meat (can be purchased from \""Ernest & Sons Meat Market\""; tell Sam it's for \""Kay's Hamburger Cakes\"" and he will make it for you) with the onion and form 7 hamburger patties."", ""In a very large frypan, melt butter, then brown patties well on both sides and cook through.""]","2 lb. ground sirloin with a little bit chuck ground"", ""1 medium onion, finely chopped"", ""2 to 3 Tbsp. butter"", ""reserved potato water from \""Kay's Creamy Mashed Potatoes\"""", ""4 to 6 Tbsp. flour"", ""4 to 6 Tbsp. water","Mix your meat (can be purchased from \""Ernest & Sons Meat Market\""; tell Sam it's for \""Kay's Hamburger Cakes\"" and he will make it for you) with the onion and form 7 hamburger patties."", ""In a very large frypan, melt butter, then brown patties well on both sides and cook through.",True
Hot Fudge Sauce For Ice Cream,"[""1 c. sugar"", ""1/4 c. butter"", ""2 oz. sq. chocolate"", ""2 Tbsp. Karo syrup"", ""dash of salt"", ""1/2 c. evaporated milk"", ""2 tsp. vanilla""]","[""Cook and stir first five ingredients until blended; add 1/2 cup evaporated milk."", ""Bring to a boil."", ""Stir until thick."", ""Don't overcook."", ""Add 2 teaspoons vanilla.""]","1 c. sugar"", ""1/4 c. butter"", ""2 oz. sq. chocolate"", ""2 Tbsp. Karo syrup"", ""dash of salt"", ""1/2 c. evaporated milk"", ""2 tsp. vanilla","Cook and stir first five ingredients until blended; add 1/2 cup evaporated milk."", ""Bring to a boil."", ""Stir until thick."", ""Don't overcook."", ""Add 2 teaspoons vanilla.",True
Chicken Paprikas 2,"[""1 onion, chopped"", ""4 Tbsp. shortening"", ""1 Tbsp. paprika (preferably Hungarian)"", ""salt to taste"", ""4 to 5 lb. chicken pieces"", ""1 1/2 c. water"", ""1/2 pt. sour cream"", ""1/8 c. flour""]","[""Brown onion in shortening."", ""Add paprika and chicken pieces, salted to taste."", ""Brown 10 minutes."", ""Add water."", ""Cover and let simmer slowly until tender."", ""Remove chicken."", ""Mix flour with sour cream and add to drippings in pan and mix well."", ""Arrange chicken on top."", ""Heat through and serve.""]","1 onion, chopped"", ""4 Tbsp. shortening"", ""1 Tbsp. paprika (preferably Hungarian)"", ""salt to taste"", ""4 to 5 lb. chicken pieces"", ""1 1/2 c. water"", ""1/2 pt. sour cream"", ""1/8 c. flour","Brown onion in shortening."", ""Add paprika and chicken pieces, salted to taste."", ""Brown 10 minutes."", ""Add water."", ""Cover and let simmer slowly until tender."", ""Remove chicken."", ""Mix flour with sour cream and add to drippings in pan and mix well."", ""Arrange chicken on top."", ""Heat through and serve.",False
Broccoli Spears With Lemon Butter,"[""2 (10 oz.) pkg. frozen broccoli spears"", ""1/4 c. butter"", ""1 1/2 Tbsp. lemon juice""]","[""Cook broccoli according to the package directions."", ""Drain if necessary."", ""Meanwhile, melt butter in small saucepan."", ""Cook over low heat until amber colored."", ""Add lemon juice."", ""Place broccoli in serving dish."", ""Pour lemon butter over top.""]","2 (10 oz.) pkg. frozen broccoli spears"", ""1/4 c. butter"", ""1 1/2 Tbsp. lemon juice","Cook broccoli according to the package directions."", ""Drain if necessary."", ""Meanwhile, melt butter in small saucepan."", ""Cook over low heat until amber colored."", ""Add lemon juice."", ""Place broccoli in serving dish."", ""Pour lemon butter over top.",True
Jello Cubes For Kids,"[""1 large box jello (any flavor)"", ""1 small box jello (any flavor)"", ""4 pkg. Knox no flavor jello"", ""4 c. boiling water""]","[""Mix well"", ""together;"", ""pour into cookie sheet pan."", ""Chill in refrigerator until firm, then cut into cubes.""]","1 large box jello (any flavor)"", ""1 small box jello (any flavor)"", ""4 pkg. Knox no flavor jello"", ""4 c. boiling water","Mix well"", ""together;"", ""pour into cookie sheet pan."", ""Chill in refrigerator until firm, then cut into cubes.",True
Peanut Butter Melt,"[""1 c. butter flavored Crisco"", ""1 c. peanut butter"", ""1 bag chocolate chips"", ""1 bag miniature marshmallows""]","[""Melt together Crisco, peanut butter and chocolate chips."", ""In a cake pan, spread one bag of miniature marshmallows."", ""Pour melted ingredients over the top."", ""Spread evenly."", ""Put in refrigerator until cooled and solid.""]","1 c. butter flavored Crisco"", ""1 c. peanut butter"", ""1 bag chocolate chips"", ""1 bag miniature marshmallows","Melt together Crisco, peanut butter and chocolate chips."", ""In a cake pan, spread one bag of miniature marshmallows."", ""Pour melted ingredients over the top."", ""Spread evenly."", ""Put in refrigerator until cooled and solid.",True
